cci,month
105.4,1999-12
112.0,2000-01
111.3,2000-02
107.1,2000-03
109.2,2000-04
110.7,2000-05
106.4,2000-06
108.3,2000-07
107.3,2000-08
106.8,2000-09
105.8,2000-10
107.6,2000-11
98.4,2000-12
94.7,2001-01
90.6,2001-02
91.5,2001-03
88.4,2001-04
92.0,2001-05
92.6,2001-06
92.4,2001-07
91.5,2001-08
81.8,2001-09
82.7,2001-10
83.9,2001-11
88.8,2001-12
93.0,2002-01
90.7,2002-02
95.7,2002-03
93.0,2002-04
96.9,2002-05
92.4,2002-06
88.1,2002-07
87.6,2002-08
86.1,2002-09
80.6,2002-10
84.2,2002-11
86.7,2002-12
82.4,2003-01
79.9,2003-02
77.6,2003-03
86.0,2003-04
92.1,2003-05
89.7,2003-06
90.9,2003-07
89.3,2003-08
87.7,2003-09
89.6,2003-10
93.7,2003-11
92.6,2003-12
103.8,2004-01
94.4,2004-02
95.8,2004-03
94.2,2004-04
90.2,2004-05
95.6,2004-06
96.7,2004-07
95.9,2004-08
94.2,2004-09
91.7,2004-10
92.8,2004-11
97.1,2004-12
95.5,2005-01
94.1,2005-02
92.6,2005-03
87.7,2005-04
86.9,2005-05
96.0,2005-06
96.5,2005-07
89.1,2005-08
76.9,2005-09
74.2,2005-10
81.6,2005-11
91.5,2005-12
91.2,2006-01
86.7,2006-02
88.9,2006-03
87.4,2006-04
79.1,2006-05
84.9,2006-06
84.7,2006-07
82.0,2006-08
85.4,2006-09
93.6,2006-10
92.1,2006-11
91.7,2006-12
96.9,2007-01
91.3,2007-02
88.4,2007-03
87.1,2007-04
88.3,2007-05
85.3,2007-06
90.4,2007-07
83.4,2007-08
83.4,2007-09
80.9,2007-10
76.1,2007-11
75.5,2007-12
78.4,2008-01
70.8,2008-02
69.5,2008-03
62.6,2008-04
59.8,2008-05
56.4,2008-06
61.2,2008-07
63.0,2008-08
70.3,2008-09
57.6,2008-10
55.3,2008-11
60.1,2008-12
61.2,2009-01
56.3,2009-02
57.3,2009-03
65.1,2009-04
68.7,2009-05
70.8,2009-06
66.0,2009-07
65.7,2009-08
73.5,2009-09
70.6,2009-10
67.4,2009-11
72.5,2009-12
74.4,2010-01
73.6,2010-02
73.6,2010-03
72.2,2010-04
73.6,2010-05
76.0,2010-06
67.8,2010-07
68.9,2010-08
68.2,2010-09
67.7,2010-10
71.6,2010-11
74.5,2010-12
74.2,2011-01
77.5,2011-02
67.5,2011-03
69.8,2011-04
74.3,2011-05
71.5,2011-06
63.7,2011-07
55.8,2011-08
59.5,2011-09
60.8,2011-10
63.7,2011-11
69.9,2011-12
75.0,2012-01
75.3,2012-02
76.2,2012-03
76.4,2012-04
79.3,2012-05
73.2,2012-06
72.3,2012-07
74.3,2012-08
78.3,2012-09
82.6,2012-10
82.7,2012-11
72.9,2012-12
73.8,2013-01
77.6,2013-02
78.6,2013-03
76.4,2013-04
84.5,2013-05
84.1,2013-06
85.1,2013-07
82.1,2013-08
77.5,2013-09
73.2,2013-10
75.1,2013-11
82.5,2013-12
81.2,2014-01
81.6,2014-02
80.0,2014-03
84.1,2014-04
81.9,2014-05
82.5,2014-06
81.8,2014-07
82.5,2014-08
84.6,2014-09
86.9,2014-10
88.8,2014-11
93.6,2014-12
98.1,2015-01
95.4,2015-02
93.0,2015-03
95.9,2015-04
90.7,2015-05
96.1,2015-06
93.1,2015-07
91.9,2015-08
87.2,2015-09
90.0,2015-10
91.3,2015-11
92.6,2015-12
92.0,2016-01
91.7,2016-02
91.0,2016-03
89.0,2016-04
94.7,2016-05
93.5,2016-06
90.0,2016-07
89.8,2016-08
91.2,2016-09
87.2,2016-10
93.8,2016-11
98.2,2016-12
98.5,2017-01
96.3,2017-02
96.9,2017-03
97.0,2017-04
97.1,2017-05
95.0,2017-06
93.4,2017-07
96.8,2017-08
95.1,2017-09
100.7,2017-10
98.5,2017-11
95.9,2017-12
95.7,2018-01
99.7,2018-02
101.4,2018-03
98.8,2018-04
98.0,2018-05
98.2,2018-06
97.9,2018-07
96.2,2018-08
100.1,2018-09
98.6,2018-10
97.5,2018-11
98.3,2018-12
91.2,2019-01
93.8,2019-02
98.4,2019-03
97.2,2019-04
100.0,2019-05
98.2,2019-06
98.4,2019-07
89.8,2019-08
93.2,2019-09
95.5,2019-10
96.8,2019-11
99.3,2019-12
99.8,2020-01
101.0,2020-02
89.1,2020-03
71.8,2020-04
72.3,2020-05
78.1,2020-06
72.5,2020-07
74.1,2020-08
80.4,2020-09
81.8,2020-10
76.9,2020-11
80.7,2020-12
79.0,2021-01
76.8,2021-02
84.9,2021-03
88.3,2021-04
82.9,2021-05
85.5,2021-06
81.2,2021-07
70.3,2021-08
72.8,2021-09
71.7,2021-10
67.4,2021-11
70.6,2021-12
67.2,2022-01
62.8,2022-02
59.4,2022-03
65.2,2022-04
58.4,2022-05
50.0,2022-06
51.5,2022-07
58.2,2022-08
58.6,2022-09
59.9,2022-10
56.7,2022-11
59.8,2022-12
64.9,2023-01
66.9,2023-02
62.0,2023-03
63.7,2023-04
59.0,2023-05
64.2,2023-06
71.5,2023-07
69.4,2023-08
67.8,2023-09
63.8,2023-10
61.3,2023-11
69.7,2023-12
79.0,2024-01
76.9,2024-02
79.4,2024-03
77.2,2024-04
69.1,2024-05
68.2,2024-06
66.4,2024-07
67.9,2024-08
70.1,2024-09
70.5,2024-10
71.8,2024-11
74.0,2024-12
71.7,2025-01
64.7,2025-02
57.0,2025-03
52.2,2025-04
