date,TLT_close,IEF_close,SHY_close
2014-06-18,112.4,102.92,84.48
2014-06-19,110.96,102.66,84.47
2014-06-20,111.8,102.78,84.47
2014-06-23,111.45,102.71,84.47
2014-06-24,112.58,103.13,84.5
2014-06-25,112.87,103.23,84.51
2014-06-26,113.41,103.5,84.53
2014-06-27,113.24,103.5,84.55
2014-06-30,113.52,103.58,84.56
2014-07-01,112.28,103.05,84.5
2014-07-02,111.08,102.63,84.47
2014-07-03,110.68,102.42,84.46
2014-07-07,111.49,102.67,84.44
2014-07-08,112.74,103.14,84.46
2014-07-09,112.83,103.16,84.47
2014-07-10,112.86,103.38,84.51
2014-07-11,113.58,103.55,84.53
2014-07-14,113.09,103.32,84.52
2014-07-15,112.86,103.23,84.48
2014-07-16,113.46,103.38,84.47
2014-07-17,114.89,103.98,84.47
2014-07-18,114.52,103.77,84.47
2014-07-21,115.09,103.8,84.48
2014-07-22,115.33,103.93,84.48
2014-07-23,115.18,103.92,84.51
2014-07-24,114.32,103.5,84.48
2014-07-25,115.67,103.9,84.49
2014-07-28,115.51,103.78,84.45
2014-07-29,115.93,103.92,84.47
2014-07-30,114.32,103.19,84.43
2014-07-31,113.98,103.16,84.44
2014-08-01,114.56,103.57,84.55
2014-08-04,114.26,103.63,84.55
2014-08-05,114.63,103.68,84.55
2014-08-06,114.7,103.77,84.57
2014-08-07,115.77,104.24,84.61
2014-08-08,115.52,104.15,84.56
2014-08-11,115.51,104.1,84.56
2014-08-12,114.76,103.95,84.56
2014-08-13,115.51,104.29,84.6
2014-08-14,116.44,104.5,84.62
2014-08-15,117.71,104.92,84.62
2014-08-18,116.54,104.59,84.62
2014-08-19,116.18,104.48,84.62
2014-08-20,115.99,104.17,84.54
2014-08-21,116.64,104.39,84.54
2014-08-22,117.29,104.4,84.52
2014-08-25,117.73,104.48,84.49
2014-08-26,117.35,104.46,84.52
2014-08-27,118.35,104.75,84.54
2014-08-28,118.97,104.89,84.56
2014-08-29,119.05,104.9,84.57
2014-09-02,116.73,104.05,84.5
2014-09-03,117.38,104.2,84.52
2014-09-04,115.95,103.83,84.51
2014-09-05,115.73,103.86,84.54
2014-09-08,115.78,103.75,84.49
2014-09-09,115.69,103.51,84.44
2014-09-10,114.96,103.25,84.45
2014-09-11,114.58,103.12,84.46
2014-09-12,113.38,102.73,84.44
2014-09-15,113.55,102.92,84.48
2014-09-16,113.09,102.89,84.53
2014-09-17,112.8,102.63,84.44
2014-09-18,113.16,102.56,84.45
2014-09-19,114.6,102.95,84.44
2014-09-22,114.74,103.17,84.5
2014-09-23,115.45,103.39,84.52
2014-09-24,114.81,103.1,84.49
2014-09-25,116.17,103.6,84.55
2014-09-26,116.0,103.38,84.51
2014-09-29,116.93,103.71,84.53
2014-09-30,116.27,103.62,84.51
2014-10-01,118.23,104.3,84.57
2014-10-02,117.2,103.99,84.56
2014-10-03,117.7,103.96,84.48
2014-10-06,117.77,104.13,84.56
2014-10-07,119.36,104.74,84.61
2014-10-08,119.39,105.11,84.7
2014-10-09,118.87,104.93,84.7
2014-10-10,120.05,105.34,84.74
2014-10-13,120.78,105.89,84.77
2014-10-14,121.57,106.1,84.82
2014-10-15,122.53,106.7,84.93
2014-10-16,121.75,106.41,84.88
2014-10-17,121.07,106.1,84.83
2014-10-20,121.51,106.25,84.88
2014-10-21,120.54,105.96,84.86
2014-10-22,120.67,105.93,84.84
2014-10-23,119.6,105.49,84.8
2014-10-24,119.72,105.58,84.82
2014-10-27,119.94,105.69,84.82
2014-10-28,119.19,105.43,84.8
2014-10-29,119.46,105.08,84.69
2014-10-30,119.56,105.19,84.72
2014-10-31,119.25,105.02,84.6715
2014-11-03,118.96,104.8,84.66
2014-11-04,119.33,104.79,84.65
2014-11-05,119.16,104.82,84.63
2014-11-06,118.39,104.5,84.61
2014-11-07,119.75,105.17,84.67
2014-11-10,118.65,104.74,84.61
2014-11-11,118.73,104.75,84.6
2014-11-12,118.63,104.71,84.63
2014-11-13,118.91,104.88,84.65
2014-11-14,119.49,105.1,84.69
2014-11-17,119.19,104.98,84.68
2014-11-18,119.52,105.1,84.67
2014-11-19,118.76,104.82,84.66
2014-11-20,119.38,105.01,84.68
2014-11-21,120.1,105.22,84.7
2014-11-24,120.2,105.34,84.71
2014-11-25,121.2,105.6,84.72
2014-11-26,121.53,105.78,84.73
